parcel_id,scenario,retreat_year,reason,sensitivity_scenario,scenario_label,slr_scenario,rent_method,beta,damage_threshold,owner_utility
29,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
30,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
31,Intermediate,57,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
32,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
33,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
34,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
35,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
36,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
37,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
38,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
39,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
40,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
41,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
42,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
43,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
44,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
45,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
46,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
47,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
48,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
49,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
50,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
51,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
52,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
53,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
54,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
55,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
56,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
57,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
58,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
59,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
60,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
61,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
62,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
63,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
64,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
65,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
66,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
67,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
68,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
69,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
70,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
71,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
72,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
73,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
74,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
75,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
76,Intermediate,29,mid_term,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
77,Intermediate,32,mid_term,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
78,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
79,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
80,Intermediate,86,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
81,Intermediate,84,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
82,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
83,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
84,Intermediate,85,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
85,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
86,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
87,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
88,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
89,Intermediate,81,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
90,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
91,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
92,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
93,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
94,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
95,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
96,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
97,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
98,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
99,Intermediate,71,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
100,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
101,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
102,Intermediate,71,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
103,Intermediate,98,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
104,Intermediate,100,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
105,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
106,Intermediate,50,mid_term,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
107,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
108,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
109,Intermediate,NA,no_data,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
110,Intermediate,NA,no_data,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
1,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
2,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
3,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
4,Intermediate_High,47,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
5,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
6,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
7,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
8,Intermediate_High,45,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
9,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
10,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
11,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
12,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
13,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
14,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
15,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
16,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
17,Intermediate_High,39,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
18,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
19,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
20,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
21,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
22,Intermediate_High,41,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
23,Intermediate_High,89,late,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
24,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
25,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
26,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
27,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
28,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
29,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
30,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
31,Intermediate_High,3,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
32,Intermediate_High,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
33,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
34,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
35,Intermediate_High,60,late,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
36,Intermediate_High,99,late,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
37,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
38,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
39,Intermediate_High,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
40,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
41,Intermediate_High,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
42,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
43,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
44,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
45,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
46,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
47,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
48,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
49,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
50,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
51,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
52,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
53,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
54,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
55,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
56,Intermediate_High,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
57,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
58,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
59,Intermediate_High,27,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
60,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
61,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
62,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
63,Intermediate_High,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
64,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
65,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
66,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
67,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
68,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
69,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
70,Intermediate_High,52,late,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
71,Intermediate_High,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
72,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
73,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
74,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
75,Intermediate_High,54,late,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
76,Intermediate_High,10,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
77,Intermediate_High,12,early,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
78,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
79,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
80,Intermediate_High,38,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
81,Intermediate_High,48,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
82,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
83,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
84,Intermediate_High,33,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
85,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
86,Intermediate_High,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
87,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
88,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
89,Intermediate_High,27,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
90,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
91,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
92,Intermediate_High,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
93,Intermediate_High,66,late,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
94,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
95,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
96,Intermediate_High,64,late,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
97,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
98,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
99,Intermediate_High,28,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
100,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
101,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
102,Intermediate_High,34,mid_term,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
103,Intermediate_High,61,late,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
104,Intermediate_High,63,late,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
105,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
106,Intermediate_High,2,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
107,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
108,Intermediate_High,1,immediate,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
109,Intermediate_High,NA,no_data,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
110,Intermediate_High,NA,no_data,baseline,Baseline (Redfin Rents),Intermediate_High,redfin,0.97,0,0
1,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
2,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
3,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
4,High,17,early,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
5,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
6,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
7,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
8,High,5,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
9,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
10,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
11,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
12,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
13,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
14,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
15,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
16,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
17,High,14,early,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
18,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
19,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
20,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
21,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
22,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
23,High,18,early,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
24,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
25,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
26,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
27,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
28,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
29,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
30,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
31,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
32,High,60,late,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
33,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
34,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
35,High,34,mid_term,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
36,High,54,late,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
37,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
38,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
39,High,101,no_retreat_needed,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
40,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
41,High,70,late,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
42,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
43,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
44,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
45,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
46,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
47,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
48,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
49,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
50,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
51,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
52,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
53,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
54,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
55,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
56,High,75,late,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
57,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
58,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
59,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
60,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
61,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
62,High,1,immediate,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
63,High,77,late,baseline,Baseline (Redfin Rents),High,redfin,0.97,0,0
